model_name,file_path,strategy,declared_unique_key,matched_condition,incremental_predicates,not_matched_by_source_action,merge_exclude_columns,on_schema_change,full_refresh_config,servingdb_sync,parent_models,source_relations,documented_grain,authoritative_watermark_expr,lookback,delete_mode,validation_category,evidence_status,notes
appointment_types,models/dimensions/appointment_types.sql,merge,appointment_type_id,t.last_updated_at < s.last_updated_at,,,,append_new_columns,False,,stg_mdm__appointment_type,,appointment_type_id,last_updated_at,24h,none_or_unvalidated,pk_integrity_pass,pk_validated,"prod PK integrity OK: rows=56, null_pk=0, dup=0 | Perf wave: smart_incremental_filter(last_updated_at,24h). Prod watermark: 0 nulls, max=2026-07-14, n=56."
appointments,models/facts/appointments.sql,merge,appointment_id,t.source_updated_at < s.source_updated_at or t.attributed_payor is distinct from s.attributed_payor or t.attributed_payor_as_of_month is distinct from s.attributed_payor_as_of_month,,,,append_new_columns,False,,vw_operating_review_appointments;patients;patient_identity;providers;clinics;appointment_types;int_attribution_payor_slots_pit,,appointment_id,,,none_or_unvalidated,pk_integrity_pass,pk_validated,"prod PK integrity OK: rows=168116, null_pk=0, dup=0"
attribution_history,models/facts/attribution_history.sql,merge,identity_id;attributed_payor;as_of_month,"coalesce(t.source_updated_at, timestamp '1900-01-01') < s.source_updated_at or t.match_status is distinct from s.match_status",,,,append_new_columns,False,,vw_historical_attribution;int_attribution_provider_match;patients;patient_identity;raw_mssp_roster,,identity_id + attributed_payor + as_of_month,,,none_or_unvalidated,pk_integrity_pass,pk_validated,"prod PK integrity OK: rows=44151, null_pk=0, dup=0"
attribution_operations,models/facts/attribution_operations.sql,merge,patient_id,t.source_updated_at < s.source_updated_at or t.primary_attributed_payor is distinct from s.primary_attributed_payor or t.secondary_attributed_payor is distinct from s.secondary_attributed_payor or t.attribution_slot_source is distinct from s.attribution_slot_source,,,,append_new_columns,False,,int_attribution_global;mv_attribution_self_service;attribution_history;attribution_movement,,patient_id,,,none_or_unvalidated,pk_integrity_pass,pk_validated,"prod PK integrity OK: rows=9691, null_pk=0, dup=0"
behavioral_health,models/facts/behavioral_health.sql,merge,patient_id,"t.last_bh_visit_date < s.last_bh_visit_date OR t.is_active_bh_panel <> s.is_active_bh_panel OR COALESCE(t.bh_program_status, '') <> COALESCE(s.bh_program_status, '') OR COALESCE(t.next_bh_appointment_date, DATE '1900-01-01') <> COALESCE(s.next_bh_appointment_date, DATE '1900-01-01') OR t.has_next_bh_appointment <> s.has_next_bh_appointment OR COALESCE(t.latest_phq_score, -1) <> COALESCE(s.latest_phq_score, -1) OR COALESCE(t.latest_gad_score, -1) <> COALESCE(s.latest_gad_score, -1) OR COALESCE(t.baseline_phq_score, -1) <> COALESCE(s.baseline_phq_score, -1) OR COALESCE(t.baseline_gad_score, -1) <> COALESCE(s.baseline_gad_score, -1) OR COALESCE(t.latest_phq_date, DATE '1900-01-01') <> COALESCE(s.latest_phq_date, DATE '1900-01-01') OR COALESCE(t.latest_gad_date, DATE '1900-01-01') <> COALESCE(s.latest_gad_date, DATE '1900-01-01') OR COALESCE(t.intake_date, DATE '1900-01-01') <> COALESCE(s.intake_date, DATE '1900-01-01') OR COALESCE(t.has_bh_care_plan, -1) <> COALESCE(s.has_bh_care_plan, -1) OR COALESCE(t.has_active_cm_care_plan, -1) <> COALESCE(s.has_active_cm_care_plan, -1) OR COALESCE(t.has_active_cm_with_events, -1) <> COALESCE(s.has_active_cm_with_events, -1)",,,,append_new_columns,False,,v_bhpatientpanel;patients;patient_identity,,patient_id,,,none_or_unvalidated,pk_integrity_pass,pk_validated,"prod PK integrity OK: rows=520, null_pk=0, dup=0"
call_center_interactions,models/facts/call_center_interactions.sql,merge,contact_id,t.contact_start_at < s.contact_start_at,,,,append_new_columns,False,,stg_nice__contacts;stg_nice__agents;stg_nice__skills;team;campaign,,contact_id,,,none_or_unvalidated,pk_integrity_pass,pk_validated,"prod PK integrity OK: rows=379282, null_pk=0, dup=0 | Perf deferred: contact_start_at is event time not update watermark; matched_condition cannot detect attribute updates; need immutability proof before pruning."
call_center_sentiment,models/facts/call_center_sentiment.sql,merge,segment_id,t.segment_start_at < s.segment_start_at,,,,append_new_columns,False,,stg_nice__sentiment;stg_nice__contacts;stg_nice__agents;stg_nice__skills,,segment_id,,,none_or_unvalidated,pk_integrity_pass,pk_validated,"prod PK integrity OK: rows=6584, null_pk=0, dup=0"
clinics,models/dimensions/clinics.sql,merge,department_id,t.last_updated_at < s.last_updated_at,,,,append_new_columns,False,,department,,department_id,last_updated_at,24h,none_or_unvalidated,pk_integrity_pass,pk_validated,"prod PK integrity OK: rows=13, null_pk=0, dup=0 | Perf wave: smart_incremental_filter(last_updated_at,24h). Prod watermark: 0 nulls, max=2026-02-12, n=13. Source coalesce(lastupdated,lastmodifieddatetime,createddatetime)."
fact_provider_nps,models/healthcare/nps/fact_provider_nps.sql,merge,id,"coalesce(t.source_updated_at, timestamp '1900-01-01') < s.source_updated_at",,,,sync_all_columns,False,,vw_provider_nps_salesforce;patients;appointments,,id,,,none_or_unvalidated,pk_integrity_pass,pk_validated,"prod PK integrity OK: rows=8764, null_pk=0, dup=0"
fct_cdia__provider_audit,models/healthcare/cdia/gold/fct_cdia__provider_audit.sql,merge,audit_id,t.extracted_at < s.extracted_at,,,,sync_all_columns,False,,int_cdia__encounters_enriched,,audit_id,,,none_or_unvalidated,pk_integrity_pass,pk_validated,"prod PK integrity OK: rows=790, null_pk=0, dup=0"
