name,source_mart,date_column,agg,sum_column,rate_num,rate_denom,rate_scale,label,description
analytics_awv_completed_ytd,marts_bi_v3.mart_attribution_detail,,count_distinct,awv_completed_aid,,,100,AWV Completed YTD,Count of unique attributed patients with an AWV completed in the current calendar year.
analytics_awv_eligible,marts_bi_v3.mart_attribution_detail,,count_distinct,awv_eligible_aid,,,100,AWV Eligible,Count of unique patients eligible for an Annual Wellness Visit under analytics-based Medicare criteria.
analytics_awv_gap,marts_bi_v3.mart_attribution_detail,,count_distinct,awv_gap_aid,,,100,AWV Gap,Count of AWV-eligible patients with no completed or scheduled AWV in the current year.
analytics_awv_scheduled,marts_bi_v3.mart_attribution_detail,,count_distinct,awv_scheduled_aid,,,100,AWV Scheduled,Count of AWV-eligible patients with a scheduled but not yet completed AWV this year.
awv_completion_rate_analytics,marts_bi_v3.mart_attribution_detail,,rate_distinct,,awv_completed_aid,awv_eligible_aid,100,AWV Completion %,AWV completed YTD as a percentage of total AWV-eligible attributed patients.
awv_gap_count,marts_bi_v3.mart_attribution_detail,,count_distinct,is_awv_gap_aid,,,100,AWV Gap (flag),Attributed patients flagged as AWV gap (eligible with no completed or scheduled AWV this year). Numerator-only count; pair with analytics_awv_eligible for the rate.
awv_scheduled_or_completed_rate,marts_bi_v3.mart_attribution_detail,,rate_distinct,,awv_sched_or_done_aid,awv_eligible_aid,100,AWV Scheduled or Completed %,Patients with an AWV scheduled or completed as a percentage of AWV-eligible patients.
cadence_denominator,marts_bi_v3.mart_attribution_detail,,count_distinct,cadence_denom_aid,,,100,Cadence Denominator,Denominator for on-cadence rate: attributed patients whose risk-tier cadence window is currently evaluable. Used in on_cadence_rate.
case_awv_actionable,marts_bi_v3.mart_attribution_detail,,count_distinct,case_awv_actionable_aid,,,100,Case AWV Actionable,Attributed patients whose Salesforce Case status marks them as actionable for AWV scheduling outreach in the selected period.
case_mddo_actionable,marts_bi_v3.mart_attribution_detail,,count_distinct,case_mddo_actionable_aid,,,100,Case MDDO Actionable,Attributed patients whose Salesforce Case status marks them as actionable for MD/DO scheduling outreach in the selected period.
mddo_completion_rate,marts_bi_v3.mart_attribution_detail,,rate_distinct,,mddo_completed_aid,mddo_eligible_aid,100,MDDO Completion %,Attributed patients with a completed qualifying MD/DO visit as a percentage of MD/DO-eligible attributed patients.
mddo_visit_completed_count,marts_bi_v3.mart_attribution_detail,,count_distinct,mddo_completed_aid,,,100,MDDO Visit Completed,Attributed patients with a completed qualifying MD/DO visit this year.
mddo_visit_scheduled_count,marts_bi_v3.mart_attribution_detail,,count_distinct,mddo_scheduled_aid,,,100,MDDO Visit Scheduled,Attributed patients with a scheduled but not yet completed qualifying MD/DO visit this year.
mdm_compliant_count,marts_bi_v3.mart_attribution_detail,,count_distinct,mdm_compliant_aid,,,100,MDM Compliant,"Attributed patients passing MDM (master data management) compliance filters: complete identity, not flagged as test or deleted."
medicare_advantage_count,marts_bi_v3.mart_attribution_detail,,count_distinct,medicare_advantage_aid,,,100,Medicare Advantage,Count of unique attributed patients with Medicare Advantage as their primary coverage.
needs_review_count,marts_bi_v3.mart_attribution_detail,,count_distinct,needs_review_aid,,,100,Needs Review,"Attributed patients flagged for manual review (data quality, eligibility, or attribution-source anomaly)."
on_cadence_count,marts_bi_v3.mart_attribution_detail,,count_distinct,on_cadence_aid,,,100,On Cadence,Attributed patients currently within their risk-tier visit cadence window. Numerator for on_cadence_rate.
on_cadence_rate,marts_bi_v3.mart_attribution_detail,,rate_distinct,,on_cadence_aid,cadence_denom_aid,100,On-Cadence %,Patients currently within their risk-tier visit cadence as a percentage of the cadence-eligible attributed population.
original_medicare_count,marts_bi_v3.mart_attribution_detail,,count_distinct,original_medicare_aid,,,100,Original Medicare,Count of unique attributed patients with Original Medicare (fee-for-service) coverage.
sf_mddo_actionable_count,marts_bi_v3.mart_attribution_detail,,count_distinct,sf_mddo_actionable_aid,,,100,MD/DO Actionable,Original Medicare patients marked actionable for an MD/DO visit per Salesforce Case status. Denominator for sf_mddo_completion_rate.
sf_mddo_completed_2026_count,marts_bi_v3.mart_attribution_detail,,count_distinct,sf_mddo_completed_2026_aid,,,100,MD/DO Completed 2026,Count of Original Medicare patients with a qualifying MD/DO visit completed in 2026 per Salesforce status.
sf_mddo_completed_2027_count,marts_bi_v3.mart_attribution_detail,,count_distinct,sf_mddo_completed_2027_aid,,,100,MD/DO Completed 2027,Count of Original Medicare patients with a qualifying MD/DO visit completed in 2027 per Salesforce status.
sf_mddo_completed_count,marts_bi_v3.mart_attribution_detail,,count_distinct,sf_mddo_completed_2026_aid,,,100,MD/DO Completed 2026,DEPRECATED alias of sf_mddo_completed_2026_count (pinned to 2026 and will NOT roll forward). Use the year-explicit metric in new charts.
sf_mddo_completion_rate,marts_bi_v3.mart_attribution_detail,,rate_distinct,,sf_mddo_completed_2026_aid,sf_mddo_actionable_aid,100,MD/DO Completion %,MD/DO completed patients as a percentage of actionable MD/DO-eligible Original Medicare patients.
